"stock_code","StockKeyDescription","YearOfLastAssessment","DataCategory","AdviceCategory","advice_url","Blim2013","Blim2014","Blim2015","Blim2016","Blim2017","Blim2018","BMSY2011","BMSY2012","BMSY2013","BMSY2014","BMSY2015","BMSY2016","BMSY2017","BMSY2018","BPA2011","BPA2012","BPA2013","BPA2014","BPA2015","BPA2016","BPA2017","BPA2018","FMGT2011","FMGT2012","FMGT2013","FMGT2014","FMGT2015","FMGT2016","FMGT2017","FMSY2011","FMSY2012","FMSY2013","FMSY2014","FMSY2015","FMSY2016","FMSY2017","FPA2011","FPA2012","FPA2013","FPA2014","FPA2015","FPA2016","FPA2017","FQual2011","FQual2012","FQual2013","FQual2014","FQual2015","FQual2016","FQual2017","SSBMGT2011","SSBMGT2012","SSBMGT2013","SSBMGT2014","SSBMGT2015","SSBMGT2016","SSBMGT2017","SSBMGT2018","SSBQual2011","SSBQual2012","SSBQual2013","SSBQual2014","SSBQual2015","SSBQual2016","SSBQual2017"
"lin.27.1-2","Ling (Molva molva) in subareas 1 and 2 (Northeast Arctic)","2017","3","PA","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/lin.27.1-2.pdf target=""_blank"" title=""Click here for the most recent advice"">lin.27.1-2</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","qual_UP","qual_STEADY","qual_STEADY","GREY"
"lin.27.5b","Ling (Molva molva) in Division 5.b (Faroes grounds)","2017","3","PA","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/lin.27.5b.pdf target=""_blank"" title=""Click here for the most recent advice"">lin.27.5b</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","qual_UP","qual_DOWN","qual_DOWN","GREY"
"lin.27.3a4a6-91214","Ling (Molva molva) in Subareas 6-9, 12, and 14, and Divisions 3.a and 4.a (Northeast Atlantic and Arctic Ocean)","2017","3","PA","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/lin.27.3a4a6-91214.pdf target=""_blank"" title=""Click here for the most recent advice"">lin.27.3a4a6-91214</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","RED","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","qual_UP","qual_UP","qual_UP","GREY"
"lin.27.5a","Ling (Molva molva) in Division 5.a (Iceland grounds)","2017","1","MSY","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/lin.27.5a.pdf target=""_blank"" title=""Click here for the most recent advice"">lin.27.5a</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"mac.27.nea","Mackerel (Scomber scombrus) in subareas 1-8 and 14 and division 9.a (the Northeast Atlantic and adjacent waters)","2017","1","MSY","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/mac.27.nea.pdf target=""_blank"" title=""Click here for the most recent advice"">mac.27.nea</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","RED","RED","RED","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"lez.27.6b","Megrim (Lepidorhombus spp.) in Division 6.b (Rockall)","2017","3","PA","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/lez.27.6b.pdf target=""_blank"" title=""Click here for the most recent advice"">lez.27.6b</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","qual_STEADY","qual_UP","qual_DOWN"
"lez.27.4a6a","Megrim (Lepidorhombus spp.) in divisions 4.a and 6.a (northern North Sea, West of Scotland)","2017","1","MSY","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/lez.27.4a6a.pdf target=""_blank"" title=""Click here for the most recent advice"">lez.27.4a6a</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"meg.27.7b-k8abd","Megrim (Lepidorhombus whiffiagonis) in divisions 7.b-k, 8.a-b, and 8.d (west and southwest of Ireland, Bay of Biscay)","2017","1","MSY","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/meg.27.7b-k8abd.pdf target=""_blank"" title=""Click here for the most recent advice"">meg.27.7b-k8abd</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","RED","RED","RED","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"meg.27.8c9a","Megrim (Lepidorhombus whiffiagonis) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","2017","1","MSY","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/meg.27.8c9a.pdf target=""_blank"" title=""Click here for the most recent advice"">meg.27.8c9a</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","RED","RED","RED","GREY","GREY","GREY","GREY","ORANGE","ORANGE","GREEN","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"pra.27.1-2","Northern shrimp (Pandalus borealis) in subareas 1 and 2 (Northeast Arctic)","2017","1","MSY","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/pra.27.1-2.pdf target=""_blank"" title=""Click here for the most recent advice"">pra.27.1-2</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREEN","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"pra.27.4a20","Northern shrimp (Pandalus borealis) in Division 4.a East and Subdivision 20 (northern North Sea in the Norwegian Deep and Skagerrak)","2017","1","MSY","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/pra.27.4a20.pdf target=""_blank"" title=""Click here for the most recent advice"">pra.27.4a20</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","RED","GREEN","RED","GREY","GREY","GREY","GREY","GREY","ORANGE","GREEN","ORANGE","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","RED","GREEN","RED","GREY","GREY","GREY","GREY","ORANGE","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"pand-flad","Northern shrimp (Pandalus borealis) in Division 4.a (northern North Sea, Fladen Ground)","2015","6","PA","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/pand-flad.pdf target=""_blank"" title=""Click here for the most recent advice"">pra.27.4a</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"nep-25","Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 25 (southern Bay of Biscay and northern Galicia)","2016","3","PA","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/nep-25.pdf target=""_blank"" title=""Click here for the most recent advice"">nep.fu.25</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","RED","RED","RED","GREY","GREY","GREY","GREY","GREY","RED","RED","RED","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"nep.27.6aoutFU","Norway lobster (Nephrops norvegicus) in Division 6.a, outside the functional units (West of Scotland)","2017","5","PA","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/nep.27.6aoutFU.pdf target=""_blank"" title=""Click here for the most recent advice"">nep.27.6aoutFU</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"nep.27.7outFU","Norway lobster (Nephrops norvegicus) in Subarea 7, outside the functional units (southern Celtic Seas, southwest of Ireland)","2017","5","PA","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/nep.27.7outFU.pdf target=""_blank"" title=""Click here for the most recent advice"">nep.27.7outFU</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
"nep-31","Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 31 (southern Bay of Biscay and Cantabrian Sea)","2016","3","PA","<a href=http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/nep-31.pdf target=""_blank"" title=""Click here for the most recent advice"">nep.fu.31</a>","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","RED","RED","RED","GREY","GREY","GREY","GREY","GREY","RED","RED","RED","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREEN","GREEN","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","UNDEFINED","UNDEFINED","UNDEFINED","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY","GREY"
